LAST NAME,FIRST NAME,EMAIL,ZIPCODE,CITY,STATE,ADDRESS,PHONE
Victoria,Tvergyak,rvlanstafne@jumpstartlab.com,94104,san francisco,CA,221 pine st,415-786-3000
Robin,Dye,lwsopetra@jumpstartlab.com,94104,san francisco,CA,221 pine street,415-786-3000
Ilya,Plock,umshearer@jumpstartlab.com,94104,san francisco,CA,221 pine st,415-786-3000
Abram,Berman,iwrom.ryan@jumpstartlab.com,94104,san francisco,CA,221 pine st,415-786-3000
Alissa,Morris,xuenzetti@jumpstartlab.com,94104,san francisco,CA,221 pine street,415-786-3000
Leigh,Scofield,dsavis2@jumpstartlab.com,90068,Los Angeles,CA,5917 Foothill Dr.,213-610-9000
Justine,Hartin,vbgreals@jumpstartlab.com,94020,La honda,CA,star route 2 box 115,(650)8880000
Brady,Manger,mrackenz@jumpstartlab.com,94020,Whittier,CA,PMB 8218 Whittier College PO Box 634,6193794000
Jennifer,Jacobson,keawson@jumpstartlab.com,92037,La Jolla,CA,8529 Villa La Jolla Drive Apt. K,5622337000
Sara,Greenfield,ayp1@jumpstartlab.com,90031,Los Angeles,CA,2306 Meadowvale Ave.,3235594000
Jessica,Three,moagrosa@jumpstartlab.com,94102,San Francisco,CA,452 Page St.,707-338-5000
Erin,Fritz,hbdiedomske@jumpstartlab.com,95616,Davis,CA,1010 Columbia Place,408-781-5000
Kyle,Swier,hqalifali07@jumpstartlab.com,94568,Dublin,CA,11642 Padre Way,(925) 640-9000
Emily,Jordan,fhdry@jumpstartlab.com,94121,San Francisco,CA,6029 Geary Blvd,203-803-8000
Four,Myers,nrcole.smile@jumpstartlab.com,94070,San Carlos,CA,1007 Springfield dr,650 208 6000
Jerry,Owens,uuollins23@jumpstartlab.com,94402,San Francisco,CA,225 Rivoli St.,415.533.0000
Rueben,Pardick,gyicht@jumpstartlab.com,90275,Rancho Palos Verdes,CA,27507 Longhill Dr.,310-418-2000
Heather,Bender,aermelcutie_401@jumpstartlab.com,91030,South Pasadena,CA,2021 Oak Street,(626) 390-0000
Mo,Ota,yrrider4life90@jumpstartlab.com,94110,San Francisco,CA,3277 B 21st St.,5107176000
Megen,Wessale,wnaruso@jumpstartlab.com,91361,Westlake Village,CA,1901 Tamarack St.,805.402.1000
Omid,Simon,jmerrill@jumpstartlab.com,93117,Isla Vista,CA,6665 Sabado Tarde A,707-363-8000
Rachel,Wingate,plrnfelt@jumpstartlab.com,94965,Sausalito,CA,75 Crescent Ave,415 599 9000
Weston,Gibson,udaychan@jumpstartlab.com,94025,Menlo Park,CA,36 Anderson Way,650 387 9000
Stephen,McCabe,jndy@jumpstartlab.com,92122,San Diego,CA,,(213) 525-2000
Morgan,DeVries,bmmiigranite@jumpstartlab.com,94949,Novato,CA,205 Montego Key,415 871-4000
Dan,Wolk,qnura.bhill@jumpstartlab.com,92651,Laguna Beach,CA,637 Virginia Park Dr.,9492807000
Laura,Bergman,kredmartin@jumpstartlab.com,94609,Oakland,CA,466 44th St,202-494-0000
Zachary,D'Ambrosio,xqvidjpinsky@jumpstartlab.com,94534,Fairfield,CA,5191 lakeshore drive,4797694000
Walter,Georgia,siwcomer@jumpstartlab.com,95053,Santa Clara,CA,"Student Box 2513, 500 El Camino Real",5054900000
Guilia,Berent,aubronson@jumpstartlab.com,95965,Oroville,CA,3536 Butte Campus Dr.,530-895-2000
Sarah,Beck,fsong_moua@jumpstartlab.com,92122,Lakewood,CA,4174 Manor Dr.,562-472-4000
Margo,Simpson,cveraldmist@jumpstartlab.com,92507,Riverside,CA,1 Pentland Way Box #000834,3107791000
Luke,Kilmer,isurel.ball@jumpstartlab.com,95965,Oroville,CA,3536 Butte College Dr.,530-895-2000
Ananda,Gomez,xnnedoe1@jumpstartlab.com,95965,Oroville,CA,3536 Butte Campus Dr.,530-895-2000
Asia,Shaw,fosab2@jumpstartlab.com,95965,Oroville,CA,3536 Butte Campus Dr.,530-895-2000
David,Eysenbach,dtcolesemailaddress@jumpstartlab.com,95965,Oroville,CA,3536 Butte Campus Dr.,530-895-2000
Trevor,Berman-Cooper,wsalan@jumpstartlab.com,94114,San Francisco,CA,4238 24th Street,415-575-5000
Erin,Britt,vchai@jumpstartlab.com,94114,San Francisco,CA,4238 24th Street,415-285-3000
Lauren,Camerino,hqyboeve@jumpstartlab.com,92507,Riverside,CA,3549 Iowa ave,4089669000
Emily,Ravier,hn2cn@jumpstartlab.com,94109,San Francisco,CA,1167 Bush stapt 301,9167189000
Elizabeth,Doe,bxosterman.38@jumpstartlab.com,95060,Santa Cruz,CA,1616 Bay Street,(707)322-9000
Keith,McKeon,juzbrunton@jumpstartlab.com,94901,san rafael,CA,188 knight dr,4152330000
Gideon,Terry,vtradisegray@jumpstartlab.com,94501,alameda,CA,989 high st,4152330000
Jessica,Shreve,kfin@jumpstartlab.com,94602,Oakland,CA,1701 broadway,4152330000
Katie,Langdon,ajirkha1@jumpstartlab.com,94901,san rafael,CA,12 harte ave,4152330000
Joanna,Raymond,cpenham@jumpstartlab.com,94901,San Rafael,CA,340 D Street,4152330000
Robyn,Phillips,jiiley.arend@jumpstartlab.com,94502,Bay Farm,CA,161 Orr road,5102823000
Peter,Peshek,cdssiecaron@jumpstartlab.com,94501,alameda,CA,3305 liberty ave,5103688000
Dyanna,Finck-Haynes,ilyantak@jumpstartlab.com,94103,San Francisco,CA,3165 16th St.,7078150000
Justine,DeCamp,egssica.Bombasaro-Brady@jumpstartlab.com,94103,San Francisco,CA,3165 16th St.,8029899000
Kaycee,Chang,nkll26@jumpstartlab.com,94103,San Francisco,CA,415 S Van Ness,6102205000
Amanda,Silkes,fyowler06@jumpstartlab.com,94501,Alameda,CA,1821 versailles,5104149000
Juliette,Pepper,kvgkenyizzo@jumpstartlab.com,94110,San Francisco,CA,320 Bocana,4159948000
John,Ng,gcrinemea77@jumpstartlab.com,95060,santa cruz,CA,1145 laurel st,323-70-3000
Andrew,Strano,mklancha@jumpstartlab.com,94501,alameda,CA,1185 park ave,5102892000
Clare,Smith,lginiramneek@jumpstartlab.com,94501,alameda,CA,PO box 164,5103163000
Christine,Leland,syalon11@jumpstartlab.com,95064,Santa Cruz,CA,800 Heller Ave.,650-823-3000
Jennifer,Horowitz,qly@jumpstartlab.com,94705,Berkeley,CA,2912 Claremont Ave #3,503-333-1000
Jennifer,Smith,ggnny.kless@jumpstartlab.com,92122,San Diego,CA,7665 Palmilla Dr. #5416,858-531-5000
Lena,Nowak,ceilaen@jumpstartlab.com,95062,Santa Cruz,CA,229 Third Ave.,925-708-5000
Eleanor,Bryan,ypymondmw@jumpstartlab.com,95060,Santa Cruz,CA,31 Leonard Lane,805-909-0000
Paul,Drinkwine,fmittny.scott@jumpstartlab.com,94309,Stanford,CA,P.O. Box 16500,8133613000
Hungyen,Raiser,nnm7236@jumpstartlab.com,95060,santa cruz,CA,1616 bay st,9258764000
Julia,Engelfried,vuenone@jumpstartlab.com,95121,San Jose,CA,2494 Sherlock Dr.,(408) 887-5000
Caitlin,Cross,sxtcost@jumpstartlab.com,91316,Encino,CA,17953 Medley Drive,8185169000
Megan,Triana,kcndbui@jumpstartlab.com,94133,San Francisco,CA,"300 Broadway, Suite 28",415-788-3666 x000
Nathaniel,LeClair,qnhannan@jumpstartlab.com,95110,San Jose,CA,292 Goodyear St.,818-419-1000
Andi,Shurmantine,upelanghe@jumpstartlab.com,95060,Santa Cruz,CA,439 Locust St,8053050000
Jeff,Xx,jdgoldberg@jumpstartlab.com,91978,Spring Valley,CA,2549 Fresh Waters Court,619-438-1000
Matt,Laurila,vcscomihamster@jumpstartlab.com,92111,San Diego,CA,3740 Boyd Ave,9162175000
Paulina,Kuhns,bks18@jumpstartlab.com,92120,San Deigo,CA,6902 50th Street,619-370-1000
Leon,Smith,toewis09@jumpstartlab.com,92101,San Diego,CA,1480 Broadway #2524,619-818-5000
Lindsy,Kollu,atrcy.jones@jumpstartlab.com,92101,San Diego,CA,1245 Market St Apt 1310,803-348-6000
Amanda,Reeves,acilvers@jumpstartlab.com,92103,San Diego,CA,4146 Flacon Street,619-296-6000
Brian,Plantak,dkgerber@jumpstartlab.com,92114,San Diego,CA,6326 Kimmy Ct,619-263-2000
Yiran,Brown,qhigitte.cronier@jumpstartlab.com,92114,San Diego,CA,7260 Viewcrest Drive,619-550-9000
Daniel,Bryars,nvisacompletetool@jumpstartlab.com,92102,San Diego,CA,4992 Elm Street,619-263-2000
X,Zaragoza,dkuren.mccrystal@jumpstartlab.com,92139,San Diego,CA,6945 Pembridge Lane,619-263-2000
Jason,Heller,gpe.chadcarson+11@jumpstartlab.com,92105,San Diego,CA,2446 Kathlee N Pl,6198077000
Sander,Doe,jeoxley09@jumpstartlab.com,92114,San Diego,CA,1612 Republic Street,6192631000
Chelsey,Barge,lhanac@jumpstartlab.com,92105,San Diego,CA,2880 51st Street,6196947000
Rosina,Scaramellino,snleswb@jumpstartlab.com,92114,San Diego,CA,7257 Viewcrest Dr.,619-592-5000
Andrew,Meyers,fgyjaywalker3@jumpstartlab.com,92115,San Diego,CA,4876 49th St,619-282-4000
Sam,Butler,fnntaclaus@jumpstartlab.com,94117,San Francisco,CA,630 Oak Street,4156085000
Basil,Xx,cszwattli@jumpstartlab.com,94612,Oakland,CA,436 14th St,(703) 220 1000
Jennifer,Olen,qviliebarnett@jumpstartlab.com,95060,santa cruz,CA,238 san lorenzo blvd. #5,650 483 3000
Gus,Kosloff,qkdmund2@jumpstartlab.com,94112,San Francisco,CA,101 Jules Ave,530-304-8000
Brian,Haslett,orbersol@jumpstartlab.com,95030,Los Gatos,CA,16111 Matilija Dr,408-621-8000
Carly,Williams,rt@jumpstartlab.com,94044,Pacifica,CA,13 Seabreeze Ct.,415-823-4000
Pamela,Schulz,rbsey.smith15@jumpstartlab.com,94103,San Francisco,CA,549 Natoma St.,415-519-7000
Jim,Willy,tayadubr@jumpstartlab.com,93103,Santa Barbara,CA,421 N Alisos St #A,(805) 284-6000
Lisa,Simovic,lxndseymwilen@jumpstartlab.com,94117,San Francisco,CA,1965 Oak St.,845-264-4000
Victoria,Walker,vmoe14@jumpstartlab.com,94110,San Francisco,CA,2156 Bryant St.,845-264-4000
Jon,Groh,phexsteed@jumpstartlab.com,92882,Corona/Oakland,CA,"1464 San Clemente Circle/369 Palm Ave, #26",845-264-4000
Matt,Alwood,ostcd2@jumpstartlab.com,94110,San Francisco,CA,306 Elsie Street,845-264-4000
Hector,Lamoreau,redge@jumpstartlab.com,94131,San Francisco,CA,135 Flood Ave.,845-264-4000
Waqas,Doe,jp4446a@jumpstartlab.com,94112,San Francisco,CA,243 Ottawa Ave.,845-264-4000
Rachel,Anderson,dmra_prendergast@jumpstartlab.com,94110,San Francisco,CA,306 Elsie St.,845-264-4000
John Gray,Howard,lubert.david@jumpstartlab.com,94014,Daly City,CA,89 Bellvue Ave.Apt. B,845-264-4000
Taylor,Eingold,klruntz@jumpstartlab.com,94102,San Francisco,CA,222 Haight Street,845-264-4000
Lauren,Pipp,lblinthegreat@jumpstartlab.com,92115,San Diego,CA,5584 Hardy Avenue,(949)636-8000
Kelli,Fallot,ywylook_itskevinjensen@jumpstartlab.com,94133,San Francisco,CA,"300 Broadway, Suite 28",415.788.3666x000
Lacey,Doe,qxtaylor@jumpstartlab.com,94117,San Francisco,CA,637 Haight St.,8315127000
Laura,Silberman,jl893@jumpstartlab.com,19081,Swarthmore College,CA,"Swarthmore College, 500 College Ave",3109956000
Katie,Peterson,uariamjoydowd@jumpstartlab.com,00000,Grass Valley,CA,114 Broadview Ave.,510-520-4000
Timothy,Heise,xdonsd@jumpstartlab.com,95060,Santa Cruz,CA,"218 Alhambra St, Apt A",(310)4883000
Ave,Schlather,foengzhi.li@jumpstartlab.com,91031,Agoura Hills,CA,30310 Rainbow View Dr.,818.516.3000
Emily,Malpica,rgr2@jumpstartlab.com,94720,Berkeley,CA,2601 Warring Street Box 307,310 963 6000
Savannah,Varoutas,wstemossburg@jumpstartlab.com,94704,Berkeley,CA,2504 Prospect Street,(760) 585-5000
Michael,Stowman,vnllem@jumpstartlab.com,95112,San Jose,CA,553 S Sixth St Apt A,605-484-5000
Arielle,Strand,mhxheather@jumpstartlab.com,92399,yucaipa,CA,12655 2nd st 75,(909) 528-8000
Judy,Danilowicz,sgayton@jumpstartlab.com,90011,Los Angeles,CA,3521 1/2 Mckinley Ave,323-420-6000
William,McPhee,siw211@jumpstartlab.com,94709,Berkeley,CA,1708 Euclid Ave 11,510-407-7000
Becca,McCoy,oyindes@jumpstartlab.com,90024,Los Angeles,CA,250 De Neve Dr.,5102953000
Brady,Wayland,asrtinz@jumpstartlab.com,95064,Santa Cruz,CA,"UCSC, Cowell College 301 McLaughlin Drive #436",805-400-8000
Annie,Penticoff,ehimmerman@jumpstartlab.com,95060,Santa Cruz,CA,1017 3rd St,831-419-6000
Elizabeth,Brunner,qm940@jumpstartlab.com,94970,Kensington,CA,630 Kenyon Ave.,(510) 965-8000
Laurel,Kalbacker,vu8880a@jumpstartlab.com,95064,Santa Cruz,CA,UCSC Cowell College 301 McLaughlin Dr. #499,(916) 690-1000
Tim,Murdock,nmarson@jumpstartlab.com,94706,Albany,CA,305 West End Way #204,(408)398-1000
Jennifer,Kelly,ugrrejj@jumpstartlab.com,94704,Berkeley,CA,2315 College Ave. Apt 204,(408) 317-8000
Armand,Diamond,bpamilia.mcbean@jumpstartlab.com,90026,Los Angeles,CA,"806 Coronado Terrace, Apt. 12",336-671-0000
Brad,Sharrow,ebitke01@jumpstartlab.com,94706,Albany,CA,305 West End Way #204,(408) 398-1000
Tess,Ray,wdycee-r@jumpstartlab.com,90024,Los Angeles,CA,613 1/2 Kelton Ave,(408)472-0000
Todd,Lindstrom,yx@jumpstartlab.com,94103,San Francisco,CA,415 South Van Ness,978 877 7000
John,Dowley,bx14@jumpstartlab.com,94705,Berkeley,CA,2219 Ward St,5748505000
Ainsley,Moudy,adveitdooit@jumpstartlab.com,94103,San Francisco,CA,415 S. Van Ness Ave,203-561-8000
Stephanie,Smith,yjssale@jumpstartlab.com,94963,San Geronimo,CA,300 Meadow Way,(415) 497-2000
Krista,Houck,yyohen-fuentes10@jumpstartlab.com,95050,Santa Clara,CA,59 Washington St.,94080 834-0000
Uruj,Matanovic,uluggle@jumpstartlab.com,94109,San Francisco,CA,2000 California St,415 346 5000
Jamie,Clemente,svitta.seifert08@jumpstartlab.com,92507,Riverside,CA,3429 Canyon Crest Drive,(925)336-0000
Tiana,Fernandez,itnerurk@jumpstartlab.com,95014,Cupertino,CA,19971 La Mar Drive,4082524000
Lydia,Berry,ihoe10@jumpstartlab.com,94704,Berkeley,CA,2415 Prospect St.,503-341-5000
